Reference, Value, Footprint,Unit Price,Digi Code
P1,PPTC081LFBN-RC,Connect:SIL-6,"0,68",S7004-ND
P3,PPTC081LFBN-RC,Connect:SIL-8,"0,68",S7004-ND
P4,PPTC081LFBN-RC,Connect:SIL-8,"0,86",S7006-ND
P2,PPTC081LFBN-RC,Connect:SIL-6,"0,86",S7006-ND
IC1,A3PN250-VQG100,SMD_Packages:VQFP100,"14,96",1100-1042-ND
C3,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C4,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C5,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C6,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C7,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C8,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C10,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C11,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C12,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C13,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C14,10n,Capacitors_SMD:c_0805,"0,1",490-1664-1-ND
C15,10n,Capacitors_SMD:c_0805,"0,1",490-1664-1-ND
C16,10n,Capacitors_SMD:c_0805,"0,1",490-1664-1-ND
C17,10n,Capacitors_SMD:c_0805,"0,1",490-1664-1-ND
C9,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C2,10n,Capacitors_SMD:c_0805,"0,1",490-1664-1-ND
C1,33u,Capacitors_SMD:c_0805,"0,88",445-4060-1-ND
U6,12MHz,local:OSC_2x2p5,,
C38,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
U1,FT2232D,Housings_QFP:lqfp-48,"6,99",768-1010-1-ND
CON1,USB-MINI-B,Connect:USB_MINI_B,,
C20,33n,Capacitors_SMD:c_0805,"0,1",1276-1796-1-ND
C23,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C24,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C22,10u,Capacitors_SMD:c_1206,"0,19",399-1299-1-ND
R4,470R,Resistors_SMD:Resistor_SMD0805_ReflowWave,"0,1",
C21,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C25,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
R1,27R,Resistors_SMD:Resistor_SMD0805_ReflowWave,"0,1",
R2,27R,Resistors_SMD:Resistor_SMD0805_ReflowWave,"0,1",
R3,1K5,Resistors_SMD:Resistor_SMD0805_ReflowWave,"0,1",
X1,6Mhz,Crystals_Oscillators_SMD:crystal_FA238-TSX3225,,
C18,33n,Capacitors_SMD:c_0805,"0,1",1276-1796-1-ND
C19,33n,Capacitors_SMD:c_0805,"0,1",1276-1796-1-ND
D1,S1G,Diodes_SMD:Diode-SMA_Standard,"0,42",
U2,AS4C16M16S,local:TSOP_II_54,"2,84",1450-1145-ND
C26,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C27,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C28,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C29,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C30,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C31,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
C32,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
CON2,BARREL_JACK,Connect:BARREL_JACK,,
U5,NCP1117ST15T3G,SMD_Packages:DPAK2,"0,45",NCP1117DT15RKGOSCT-ND
U3,NCP1117ST33T3G,SMD_Packages:DPAK2,"0,49",NCP1117DT33RKGOSCT-ND
C35,4u7,Capacitors_SMD:c_1206,"0,2",1276-1191-1-ND
C37,4u7,Capacitors_SMD:c_1206,"0,2",1276-1191-1-ND
C33,10u,Capacitors_SMD:c_1206,"0,19",399-1299-1-ND
U4,BU42xx,local:SSOP-5,,
C34,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
SW1,RESET,switchs:smd_push,,
R5,10k,Resistors_SMD:Resistor_SMD0805_ReflowWave,"0,1",
C36,1u,Capacitors_SMD:c_0805,"0,1",1276-1246-1-ND
D2,S1G,Diodes_SMD:Diode-SMA_Standard,"0,42",
U7,MAX117,SMD_Packages:SSOP28,"7,03",MAX117CAI+-ND
C40,100n,Capacitors_SMD:c_0805,"0,1",1276-1007-1-ND
,,,,
,,,"42,24",
